Departamento,Año,Valor
Total País,2019,793159
Total País,2020,763561
Total País,2021,648600
Total País,2022,675567
Total País,2023,723543
Guatemala,2019,238384
Guatemala,2020,226916
Guatemala,2021,188087
Guatemala,2022,196330
Guatemala,2023,201363
El Progreso,2019,9903
El Progreso,2020,9422
El Progreso,2021,8126
El Progreso,2022,8341
El Progreso,2023,8916
Sacatepéquez,2019,21005
Sacatepéquez,2020,20315
Sacatepéquez,2021,17950
Sacatepéquez,2022,18437
Sacatepéquez,2023,19387
Chimaltenango,2019,29584
Chimaltenango,2020,29241
Chimaltenango,2021,26717
Chimaltenango,2022,26963
Chimaltenango,2023,29215
Escuintla,2019,41457
Escuintla,2020,40773
Escuintla,2021,36027
Escuintla,2022,37107
Escuintla,2023,40431
Santa Rosa,2019,21461
Santa Rosa,2020,21003
Santa Rosa,2021,18669
Santa Rosa,2022,19003
Santa Rosa,2023,20262
Sololá,2019,19876
Sololá,2020,19104
Sololá,2021,17050
Sololá,2022,17251
Sololá,2023,18539
Totonicapán,2019,16016
Totonicapán,2020,15591
Totonicapán,2021,12602
Totonicapán,2022,13101
Totonicapán,2023,14001
Quetzaltenango,2019,47227
Quetzaltenango,2020,45233
Quetzaltenango,2021,40622
Quetzaltenango,2022,41233
Quetzaltenango,2023,44117
Suchitepéquez,2019,30378
Suchitepéquez,2020,29659
Suchitepéquez,2021,25825
Suchitepéquez,2022,25565
Suchitepéquez,2023,27700
Retalhuleu,2019,19310
Retalhuleu,2020,18973
Retalhuleu,2021,16697
Retalhuleu,2022,16788
Retalhuleu,2023,17926
San Marcos,2019,51161
San Marcos,2020,48801
San Marcos,2021,41345
San Marcos,2022,44778
San Marcos,2023,48098
Huehuetenango,2019,33632
Huehuetenango,2020,32383
Huehuetenango,2021,26353
Huehuetenango,2022,28828
Huehuetenango,2023,33380
Quiché,2019,33059
Quiché,2020,31779
Quiché,2021,26802
Quiché,2022,27437
Quiché,2023,30110
Baja Verapaz,2019,12401
Baja Verapaz,2020,11628
Baja Verapaz,2021,9961
Baja Verapaz,2022,10664
Baja Verapaz,2023,11353
Alta Verapaz,2019,50663
Alta Verapaz,2020,50705
Alta Verapaz,2021,44081
Alta Verapaz,2022,45763
Alta Verapaz,2023,50626
Petén,2019,27524
Petén,2020,26120
Petén,2021,19018
Petén,2022,21865
Petén,2023,24434
Izabal,2019,21222
Izabal,2020,20227
Izabal,2021,16363
Izabal,2022,17912
Izabal,2023,19568
Zacapa,2019,12324
Zacapa,2020,11795
Zacapa,2021,10501
Zacapa,2022,10783
Zacapa,2023,11594
Chiquimula,2019,15376
Chiquimula,2020,14730
Chiquimula,2021,12380
Chiquimula,2022,12965
Chiquimula,2023,14473
Jalapa,2019,15370
Jalapa,2020,14856
Jalapa,2021,12190
Jalapa,2022,12758
Jalapa,2023,14246
Jutiapa,2019,25826
Jutiapa,2020,24307
Jutiapa,2021,21234
Jutiapa,2022,21695
Jutiapa,2023,23804
